# code	word	layer	freq_score
# generated by wubi-build-weights — DO NOT EDIT BY HAND. Regenerate via:
#   cargo run --features tools --release --bin wubi-build-weights
abuj	𦵮	0	0
abuj	𦺼	0	0
abuj	𧒣	0	0
abuk	䔒	0	0
abup	𧀕	0	0
abup	𧁂	0	0
abuq	𦼧	0	0
abut	萨	0	32132
abuv	𦽚	0	0
abuv	𦾨	0	0
abuy	荫凉	1	10738
abv	匜	3	0
abvi	节录	1	10129
abvv	节妇	1	0
abvx	萨姆	1	27121
abwc	蔭	0	20932
abwd	䕃	0	0
abwf	𦱖	0	0
abwh	欧阳修	1	17652
abwn	节假	1	21516
abwt	节余	1	0
abwt	蒢	0	0
abwu	𦬽	0	0
abwu	𧀼	0	0
abww	节俭	1	23066
abwy	节食	1	19897
abwy	𦶏	0	0
abxq	节约	1	29134
abyc	节育	1	13710
abyd	巧取豪夺	1	8973
abye	节哀	1	21149
abyx	荫庇	1	6606
ac	芭	4	28066
aca	茎	3	22343
acaf	芭蕾	1	26163
acaf	茎	0	22343
acag	鞍马劳顿	1	0
acaj	䒪	0	0
acaj	茅草	1	18283
acak	匥	0	0
acak	戒骄戒躁	1	13953
acaq	苔藓	1	15860
acaw	芭蕉	1	19026
acb	芭	3	26899
acbh	𦽰	0	0
acbj	芧	0	6506
acbj	𧀈	0	0
acbj	𧍟	0	0
acbj	𧒚	0	0
acbj	𧓿	0	0
acbk	𦺖	0	0
acbl	蓩	0	0
acbm	蓣	0	0
acbm	蕷	0	0
acbo	鶜	0	0
acbo	𦱻	0	0
acbs	葇	0	7634
acbt	䓮	0	0
acbt	茅	0	24024
acbt	𢦵	0	0
acbv	𦺒	0	0
acce	蔘	0	12212
accj	𠟝	0	0
acck	茅台	1	18210
accm	𠥘	0	0
accn	𦼒	0	0
accs	𦶖	0	0
acct	𦯩	0	0
acct	𦴅	0	0
acdd	斯巴达克	1	22912
acdg	𢨁	0	0
acdm	茅厕	1	13728
acdp	斯巴达	1	25022
acef	𦮌	0	0
aceo	𧀛	0	0
acep	蓪	0	0
acfa	𦯨	0	0
acfg	茎干	1	9342
acfy	茅坑	1	14971
acgd	㦯	0	0
acgt	戎马一生	1	0
acis	七台河	1	10856
ack	苔	3	22815
ackb	𠫅	0	0
ackf	苔	0	22815
acki	𧄈	0	0
ackl	𧀟	0	0
ackp	䕂	0	0
acks	葈	0	0
ackw	雅马哈	1	10082
aclf	䓿	0	0
acng	茅屋	1	18440
acnu	𦮡	0	0
acpr	勤能补拙	1	0
acrf	茅盾	1	12013
acrh	𦭷	0	0
acse	茅棚	1	12260
acsf	茎杆	1	0
actd	𦮸	0	0
acu	䔍	0	0
acu	𦫿	0	0
acun	𤮖	0	0
acus	匹马单枪	1	0
acwf	茅舍	1	10446
acwt	荾	0	0
acww	戎马倥偬	1	11718
acxd	莫桑比克	1	16239
acyn	茅房	1	15622
acyu	芆	0	0
acyy	茅庐	1	15870
ad	基	4	39129
ada	莽	3	23355
adaa	藏匿	1	22446
adac	䒎	0	0
adad	斯基	1	31693
adad	苦苦	1	24084
adae	葳蕤	1	11718
adaf	若有若无	1	6606
adah	藏龙卧虎	1	11430
adai	菲薄	1	15072
adaj	莽	0	23355
adak	甚或	1	17311
adal	苦功	1	17761
adan	欺世	1	12870
adan	𣯬	0	0
adap	欺蒙	1	0
adaq	茏葱	1	11225
adat	蔵	0	12365
adaw	蕻	0	9705
