loaded 1845 rows across 6 chars

=== verdict tally (1845 rows) ===
  UNCERTAIN         :  1579  ( 85.6%)
  LIKELY_SPURIOUS   :   133  (  7.2%)
  SPURIOUS          :   117  (  6.3%)
  LEGITIMATE        :    16  (  0.9%)

=== verdict by source char ===
  地: {'LEGITIMATE': 8, 'UNCERTAIN': 573, 'SPURIOUS': 37, 'LIKELY_SPURIOUS': 85}
  得: {'UNCERTAIN': 626, 'LEGITIMATE': 1, 'LIKELY_SPURIOUS': 23}
  的: {'UNCERTAIN': 101, 'SPURIOUS': 80, 'LIKELY_SPURIOUS': 7}
  了: {'LEGITIMATE': 4, 'UNCERTAIN': 222, 'LIKELY_SPURIOUS': 18}
  谁: {'LEGITIMATE': 2, 'UNCERTAIN': 57}
  那: {'LEGITIMATE': 1}
char	wrong_code	word	freq	primary	verdict	note
地	heshihede	何时何地	15849	heshihedi	LIKELY_SPURIOUS	>=3-char prefix '何时何' + 助词 (long phrase + 助词)
地	demo	地魔	15801	dimo	UNCERTAIN	default
地	depei	地陪	15750	dipei	UNCERTAIN	default
地	shuinide	水泥地	15717	shuinidi	UNCERTAIN	2-char prefix '水泥' + 助词 (V+助词 or 2-char N+助词)
地	shide	似地	15693	shidi	UNCERTAIN	single-char prefix '似' + 助词 (likely legitimate N+助词,但 ambiguous)
地	zhide	置地	15652	zhidi	UNCERTAIN	single-char prefix '置' + 助词 (likely legitimate N+助词,但 ambiguous)
地	dezoule	地走了	15563	dizoule	UNCERTAIN	2-char prefix '地走' + 助词 (V+助词 or 2-char N+助词)
地	dezouliao	地走了	15563	dizoule	UNCERTAIN	2-char prefix '地走' + 助词 (V+助词 or 2-char N+助词)
地	dewang	地王	15554	diwang	UNCERTAIN	default
地	hande	汉地	15551	handi	UNCERTAIN	single-char prefix '汉' + 助词 (likely legitimate N+助词,但 ambiguous)
地	jiande	渐地	15540	jiandi	UNCERTAIN	single-char prefix '渐' + 助词 (likely legitimate N+助词,但 ambiguous)
地	detai	地台	15538	ditai	UNCERTAIN	default
地	wenwende	稳稳地	15485	wenwendi	SPURIOUS	重叠副词 '稳稳' + 助词
地	deshu	地鼠	15408	dishu	UNCERTAIN	default
地	maide	麦地	15406	maidi	UNCERTAIN	single-char prefix '麦' + 助词 (likely legitimate N+助词,但 ambiguous)
地	tianbupade	天不怕地	15395	tianbupadi	LIKELY_SPURIOUS	>=3-char prefix '天不怕' + 助词 (long phrase + 助词)
地	guode	果地	15384	guodi	UNCERTAIN	single-char prefix '果' + 助词 (likely legitimate N+助词,但 ambiguous)
地	dela	地拉	15298	dila	UNCERTAIN	default
地	dezhi	地直	15277	dizhi	UNCERTAIN	default
地	mude	目地	15243	mudi	UNCERTAIN	single-char prefix '目' + 助词 (likely legitimate N+助词,但 ambiguous)
地	baohude	保护地	15196	baohudi	UNCERTAIN	2-char prefix '保护' + 助词 (V+助词 or 2-char N+助词)
地	xiande	闲地	15179	xiandi	UNCERTAIN	single-char prefix '闲' + 助词 (likely legitimate N+助词,但 ambiguous)
地	wade	挖地	15114	wadi	UNCERTAIN	single-char prefix '挖' + 助词 (likely legitimate N+助词,但 ambiguous)
地	paishede	拍摄地	14983	paishedi	UNCERTAIN	2-char prefix '拍摄' + 助词 (V+助词 or 2-char N+助词)
地	chongchongde	重重地	14737	chongchongdi	SPURIOUS	重叠副词 '重重' + 助词
地	zhenchengde	真诚地	14619	zhenchengdi	UNCERTAIN	2-char prefix '真诚' + 助词 (V+助词 or 2-char N+助词)
地	dehuo	地火	14608	dihuo	UNCERTAIN	default
地	defeng	地缝	14566	difeng	UNCERTAIN	default
地	yede	野地	14422	yedi	UNCERTAIN	single-char prefix '野' + 助词 (likely legitimate N+助词,但 ambiguous)
地	detan	地坛	14416	ditan	UNCERTAIN	default
地	tianchadebie	天差地别	14356	tianchadibie	UNCERTAIN	default
地	jiaoaode	骄傲地	14314	jiaoaodi	UNCERTAIN	2-char prefix '骄傲' + 助词 (V+助词 or 2-char N+助词)
地	shengde	省地	14273	shengdi	UNCERTAIN	single-char prefix '省' + 助词 (likely legitimate N+助词,但 ambiguous)
地	shude	蜀地	14259	shudi	UNCERTAIN	single-char prefix '蜀' + 助词 (likely legitimate N+助词,但 ambiguous)
地	dunde	遁地	14203	dundi	UNCERTAIN	single-char prefix '遁' + 助词 (likely legitimate N+助词,但 ambiguous)
地	dezai	地栽	14169	dizai	UNCERTAIN	default
地	tiede	贴地	14069	tiedi	UNCERTAIN	single-char prefix '贴' + 助词 (likely legitimate N+助词,但 ambiguous)
地	youxiande	悠闲地	14067	youxiandi	UNCERTAIN	2-char prefix '悠闲' + 助词 (V+助词 or 2-char N+助词)
地	jujide	聚集地	14001	jujidi	UNCERTAIN	2-char prefix '聚集' + 助词 (V+助词 or 2-char N+助词)
地	lude	露地	13869	ludi	UNCERTAIN	single-char prefix '露' + 助词 (likely legitimate N+助词,但 ambiguous)
地	dehua	地滑	13831	dihua	UNCERTAIN	default
地	jiande	建地	13820	jiandi	UNCERTAIN	single-char prefix '建' + 助词 (likely legitimate N+助词,但 ambiguous)
地	dewang	地网	13602	diwang	UNCERTAIN	default
地	wuqingde	无情地	13544	wuqingdi	UNCERTAIN	2-char prefix '无情' + 助词 (V+助词 or 2-char N+助词)
地	dandande	淡淡地	13392	dandandi	SPURIOUS	重叠副词 '淡淡' + 助词
地	deku	地库	13282	diku	UNCERTAIN	default
地	zede	泽地	13275	zedi	UNCERTAIN	single-char prefix '泽' + 助词 (likely legitimate N+助词,但 ambiguous)
地	zhengde	征地	13202	zhengdi	UNCERTAIN	single-char prefix '征' + 助词 (likely legitimate N+助词,但 ambiguous)
地	daxide	大溪地	13114	daxidi	UNCERTAIN	2-char prefix '大溪' + 助词 (V+助词 or 2-char N+助词)
地	jizhongde	集中地	13025	jizhongdi	UNCERTAIN	2-char prefix '集中' + 助词 (V+助词 or 2-char N+助词)
地	mode	漠地	12993	modi	UNCERTAIN	single-char prefix '漠' + 助词 (likely legitimate N+助词,但 ambiguous)
地	sanjiaode	三角地	12818	sanjiaodi	UNCERTAIN	2-char prefix '三角' + 助词 (V+助词 or 2-char N+助词)
地	yingde	硬地	12755	yingdi	UNCERTAIN	single-char prefix '硬' + 助词 (likely legitimate N+助词,但 ambiguous)
地	maide	卖地	12691	maidi	UNCERTAIN	single-char prefix '卖' + 助词 (likely legitimate N+助词,但 ambiguous)
地	zerende	责任地	12599	zerendi	UNCERTAIN	2-char prefix '责任' + 助词 (V+助词 or 2-char N+助词)
地	weide	围地	12580	weidi	UNCERTAIN	single-char prefix '围' + 助词 (likely legitimate N+助词,但 ambiguous)
地	shamode	沙漠地	12508	shamodi	UNCERTAIN	2-char prefix '沙漠' + 助词 (V+助词 or 2-char N+助词)
地	chongde	冲地	12499	chongdi	UNCERTAIN	single-char prefix '冲' + 助词 (likely legitimate N+助词,但 ambiguous)
地	jubande	举办地	12397	jubandi	UNCERTAIN	2-char prefix '举办' + 助词 (V+助词 or 2-char N+助词)
地	gonggonglvde	公共绿地	12343	gonggonglvdi	LIKELY_SPURIOUS	>=3-char prefix '公共绿' + 助词 (long phrase + 助词)
地	huade	划地	12251	huadi	UNCERTAIN	single-char prefix '划' + 助词 (likely legitimate N+助词,但 ambiguous)
地	jinde	劲地	12183	jindi	UNCERTAIN	single-char prefix '劲' + 助词 (likely legitimate N+助词,但 ambiguous)
地	fantianfude	翻天复地	12090	fantianfudi	LIKELY_SPURIOUS	>=3-char prefix '翻天复' + 助词 (long phrase + 助词)
地	mandepao	满地跑	12090	mandipao	UNCERTAIN	default
地	zirandeli	自然地理	12049	zirandili	UNCERTAIN	default
地	xiangde	响地	12026	xiangdi	UNCERTAIN	single-char prefix '响' + 助词 (likely legitimate N+助词,但 ambiguous)
地	zuande	钻地	11987	zuandi	UNCERTAIN	single-char prefix '钻' + 助词 (likely legitimate N+助词,但 ambiguous)
地	dedi	地低	11985	didi	UNCERTAIN	default
地	deya	地压	11982	diya	UNCERTAIN	default
地	daidaide	呆呆地	11967	daidaidi	SPURIOUS	重叠副词 '呆呆' + 助词
地	dedixia	地底下	11961	didixia	UNCERTAIN	default
地	shibacengde	十八层地	11934	shibacengdi	LIKELY_SPURIOUS	>=3-char prefix '十八层' + 助词 (long phrase + 助词)
地	bijingzhide	必经之地	11914	bijingzhidi	LIKELY_SPURIOUS	>=3-char prefix '必经之' + 助词 (long phrase + 助词)
地	mandezhaoya	满地找牙	11826	mandizhaoya	UNCERTAIN	default
地	jide	急地	11818	jidi	UNCERTAIN	single-char prefix '急' + 助词 (likely legitimate N+助词,但 ambiguous)
地	tianyude	天与地	11723	tianyudi	UNCERTAIN	2-char prefix '天与' + 助词 (V+助词 or 2-char N+助词)
地	yude	雨地	11688	yudi	UNCERTAIN	single-char prefix '雨' + 助词 (likely legitimate N+助词,但 ambiguous)
