delete_code	word	freq	why
xifune	西服呢	5286	呢:ne/ni del-prim b2
bizuo	辟作	5167	辟:pi/bi del-wrong b2
shuchen	属沈	5167	沈:shen/chen del-wrong b2
shenji	沈寂	5073	沈:shen/chen del-prim b2
chendefu	沈德符	4961	沈:shen/chen del-wrong b2
tiwai	堤外	4961	堤:di/ti del-wrong b2
liba	犁耙	4842	耙:ba/pa del-prim b2
xueduan	削短	4842	削:xue/xiao del-prim b2
shadili	刹帝利	4804	刹:sha/cha del-prim b2
chengaosu	沈高速	4734	沈:shen/chen del-wrong b2
tiduan	堤段	4652	堤:di/ti del-wrong b2
jipo	羁泊	4652	泊:po/bo del-prim b2
qianlizhiti	千里之堤	4652	堤:di/ti del-wrong b2
tinei	堤内	4640	堤:di/ti del-wrong b2
chenjixian	沈吉线	4495	沈:shen/chen del-wrong b2
tuti	土堤	4495	堤:di/ti del-wrong b2
boxi	蕃息	4480	蕃:fan/bo del-wrong b2
zengbi	增辟	4480	辟:pi/bi del-wrong b2
chenayi	沈阿姨	4422	沈:shen/chen del-wrong b2
chenyangju	沈阳局	4422	沈:shen/chen del-wrong b2
chiba	齿耙	4422	耙:ba/pa del-prim b2
fenda	纷沓	4422	沓:da/ta del-prim b2
liaochenzhanyijinianguan	辽沈战役纪念馆	4422	沈:shen/chen del-wrong b2
xueduan	削断	4422	削:xue/xiao del-prim b2
yabo	崖柏	4422	柏:bai/bo del-wrong b2
zhanne	毡呢	4422	呢:ne/ni del-prim b2
bobing	蕃兵	4193	蕃:fan/bo del-wrong b2
boshuteng	蕃薯藤	4193	蕃:fan/bo del-wrong b2
dishen	低沈	4193	沈:shen/chen del-prim b2
guibo	桧柏	4193	柏:bai/bo del-wrong b2
polai	泊来	4131	泊:po/bo del-prim b2
kanxue	砍削	4131	削:xue/xiao del-prim b2
moxue	磨削	4131	削:xue/xiao del-prim b2
tongboxian	桐柏县	4131	柏:bai/bo del-wrong b2
xuegua	削刮	4131	削:xue/xiao del-prim b2
posongbi	泊松比	3861	泊:po/bo del-prim b2
tiding	堤顶	3861	堤:di/ti del-wrong b2
tiyan	堤堰	3861	堤:di/ti del-wrong b2
jianti	建堤	3861	堤:di/ti del-wrong b2
tongboshan	桐柏山	3861	柏:bai/bo del-wrong b2
lishagongyuan	黎刹公园	3686	刹:sha/cha del-prim b2
muba	木耙	3686	耙:ba/pa del-prim b2
xueguang	削光	3686	削:xue/xiao del-prim b2
boluhan	卜鲁罕	3468	卜:bo/bu del-prim b2
posongkuohao	泊松括号	3468	泊:po/bo del-prim b2
chenyangshizhengfu	沈阳市政府	3468	沈:shen/chen del-wrong b2
habibo	哈比卜	3468	卜:bo/bu del-prim b2
nipoergongchandang	尼泊尔共产党	3468	泊:po/bo del-prim b2
yibolaxin	伊卜拉欣	3468	卜:bo/bu del-prim b2
batian	耙田	3239	耙:ba/pa del-prim b2
bati	坝堤	3135	堤:di/ti del-wrong b2
jiboli	吉卜利	3135	卜:bo/bu del-prim b2
bali	耙犁	3094	耙:ba/pa del-prim b2
batu	耙土	3094	耙:ba/pa del-prim b2
bingcan	冰参	3094	参:can/shen del-prim b2
shendiandian	沈甸甸	3094	沈:shen/chen del-prim b2
shenlun	沈沦	3094	沈:shen/chen del-prim b2
