delete_code	word	freq	why
changchang	场长	13166	del_wrong
dierxing	第二行	13103	del_prim
zhongyou	重邮	13079	del_prim
zhongfang	重放	13065	del_prim
chongshan	重山	13063	del_wrong
qingyichong	情意重	13045	del_wrong
hangke	行客	13014	del_wrong
cuchong	粗重	13006	del_wrong
zhangtongwa	长筒袜	12991	del_prim
zhongjian	重见	12986	del_prim
zhongjian	重见	12986	del_prim
cixiaobichang	此消彼长	12978	del_wrong
chongqingyi	重情义	12944	del_wrong
zhangpian	长片	12920	del_prim
shouchong	首重	12875	del_wrong
jiazhangban	加长版	12871	del_prim
changpi	长皮	12867	del_wrong
meihang	每行	12849	del_wrong
chongdeng	重登	12772	del_wrong
shunlijinhang	顺利进行	12725	del_wrong
quanbuchong	全部重	12703	del_wrong
hangxinghao	行行好	12673	del_wrong
chongji	重击	12601	del_wrong
lingzhanglei	灵长类	12580	del_prim
chonglu	重录	12524	del_wrong
zunchongshishi	尊重事实	12511	del_wrong
zhangxiaojizhi	长效机制	12503	del_prim
hangbu	行步	12475	del_wrong
zhangzhu	长驻	12454	del_prim
qianlizhihang	千里之行	12405	del_wrong
hangdian	行点	12400	del_wrong
duanhang	断行	12369	del_wrong
dunchong	吨重	12356	del_wrong
tongbujinhang	同步进行	12316	del_wrong
yihang	毅行	12226	del_wrong
chizhuhang	吃住行	12189	del_wrong
qianxing	千行	12138	del_prim
zhangningqu	长宁区	11881	del_prim
zhangge	长葛	11849	del_prim
zhonghua	重画	11806	del_prim
shoumingzhang	寿命长	11782	del_prim
zhangbing	长柄	11757	del_prim
erhangqianlimudanyou	儿行千里母担忧	11754	del_wrong
renwohang	任我行	11753	del_wrong
jinhang	禁行	11712	del_wrong
diaochong	调重	11647	del_wrong
zhangzhou	长轴	11642	del_prim
hangjiu	行酒	11631	del_wrong
duohangbuyi	多行不义	11596	del_wrong
zhangtongxue	长筒靴	11590	del_prim
fudanchong	负担重	11582	del_wrong
jiaochang	教长	11555	del_wrong
jinghang	经行	11529	del_wrong
shenzhouhang	神州行	11528	del_wrong
yazhang	芽长	11528	del_prim
daohang	倒行	11482	del_wrong
jianhang	健行	11432	del_wrong
zhangsheng	长绳	11426	del_prim
shisixing	十四行	11422	del_prim
chuchuchang	处处长	11399	del_wrong
fuweiyuanchang	副委员长	11399	del_wrong
kuaichang	块长	11353	del_wrong
zongchong	总重	11316	del_wrong
chuanxing	串行	11307	del_prim
fangzhangxian	放长线	11263	del_prim
fukechang	副科长	11229	del_wrong
jiansumanhang	减速慢行	11228	del_wrong
changzhi	长痣	11193	del_wrong
leiqianhang	泪千行	11193	del_wrong
jixingzi	几行字	11151	del_prim
zhengxing	整行	11113	del_prim
zhangxing	长型	11108	del_prim
hangyi	行义	11096	del_wrong
zhongyannierliyuhang	忠言逆耳利于行	10968	del_wrong
zhanggou	长沟	10886	del_prim
cunzhang	寸长	10863	del_prim
liuxing	六行	10856	del_prim
chongzai	重灾	10846	del_wrong
chongli	重礼	10785	del_wrong
shuchong	数重	10763	del_wrong
liehang	劣行	10744	del_wrong
zhonglianchongke	中联重科	10740	del_wrong
yiluhang	一路行	10724	del_wrong
sunshicanchong	损失惨重	10711	del_wrong
hangqi	行气	10675	del_wrong
pianzhang	偏长	10665	del_prim
yanchubihang	言出必行	10665	del_wrong
chongzaiqu	重灾区	10630	del_wrong
baihang	百行	10605	del_wrong
hangxiao	行孝	10437	del_wrong
disixing	第四行	10379	del_prim
shiweiyouhang	示威游行	10364	del_wrong
fangzhangxiandiao	放长线钓	10350	del_prim
chongze	重则	10322	del_wrong
hangdu	行度	10312	del_wrong
jinhangtanpan	进行谈判	10259	del_wrong
hangbaili	行百里	10248	del_wrong
sidahang	四大行	10243	del_wrong
banchong	半重	10232	del_wrong
shuxing	数行	10230	del_prim
hangfou	行否	10214	del_wrong
chongchui	重锤	10205	del_wrong
feihang	非行	10200	del_wrong
jiaowuchang	教务长	10169	del_wrong
buxing	布行	10153	del_prim
zhihang	置行	10060	del_wrong
mouhang	某行	10051	del_wrong
hangji	行祭	10040	del_wrong
jinanxianchong	急难险重	9998	del_wrong
zhangpai	长排	9969	del_prim
bizhang	臂长	9962	del_prim
moxing	末行	9916	del_prim
zhizhang	痣长	9916	del_prim
huahang	画行	9906	del_wrong
zhihang	志行	9905	del_wrong
banhang	颁行	9904	del_wrong
jiaoyuchang	教育长	9869	del_wrong
zhangban	长伴	9864	del_prim
raodaoerhang	绕道而行	9784	del_wrong
baxing	八行	9781	del_prim
tuichong	推重	9736	del_wrong
yaxing	亚行	9735	del_prim
yaoxing	药行	9720	del_prim
konghang	空行	9689	del_wrong
qihang	奇行	9683	del_wrong
dianqixing	电器行	9664	del_prim
hangbiguo	行必果	9664	del_wrong
chongpei	重配	9616	del_wrong
zhongjianguangming	重见光明	9531	del_prim
zhongjianguangming	重见光明	9531	del_prim
chichuanzhuhang	吃穿住行	9530	del_wrong
fenduichang	分队长	9525	del_wrong
hangji	行纪	9492	del_wrong
zhongchao	重抄	9424	del_prim
zhongru	重入	9412	del_prim
hangbude	行不得	9370	del_wrong
hangbudei	行不得	9370	del_wrong
zhanghaixian	长海县	9353	del_prim
hangbo	行波	9344	del_wrong
chaxing	茶行	9313	del_prim
minglingxing	命令行	9295	del_prim
qixing	七行	9288	del_prim
pochong	颇重	9263	del_wrong
junshichang	军士长	9248	del_wrong
shenjizhang	审计长	9194	del_prim
shangxiahang	上下行	9170	del_wrong
chongyiqi	重义气	9127	del_wrong
nifengerhang	逆风而行	9108	del_wrong
gaichang	改长	9084	del_wrong
techong	忒重	9083	del_wrong
hangxian	行宪	9047	del_wrong
zhongma	重码	9045	del_prim
youhangshiwei	游行示威	9027	del_wrong
zunchongrencai	尊重人才	9012	del_wrong
zhangshandao	长山岛	8988	del_prim
chongzhenxiongfeng	重振雄风	8942	del_wrong
hangdali	行大礼	8942	del_wrong
junchang	郡长	8935	del_wrong
liaxing	俩行	8913	del_prim
hangyuan	行院	8896	del_wrong
fudaduichang	副大队长	8858	del_wrong
zhongwan	重晚	8812	del_prim
bietaichong	别太重	8731	del_wrong
xiexing	鞋行	8731	del_prim
zhuxing	逐行	8726	del_prim
yixinghang	一行行	8670	del_wrong
chongkou	重扣	8611	del_wrong
zhongchongdu	中重度	8595	del_wrong
zhangxindian	长辛店	8574	del_prim
zunchongzhishi	尊重知识	8562	del_wrong
zhangkeng	长坑	8542	del_prim
jiaohang	脚行	8535	del_wrong
renhangtianqiao	人行天桥	8517	del_wrong
fulishichang	副理事长	8500	del_wrong
zhangshe	长蛇	8481	del_prim
zhangsui	长隧	8472	del_prim
zhangqingqu	长清区	8470	del_prim
jinhangpiping	进行批评	8405	del_wrong
kuaxing	跨行	8393	del_prim
quanmiantuihang	全面推行	8358	del_wrong
zhangbandeng	长板凳	8349	del_prim
zhangjiaoduan	长焦端	8349	del_prim
hangchou	行抽	8327	del_wrong
bajinchong	八斤重	8323	del_wrong
hangbugengming	行不更名	8323	del_wrong
zhangbian	长鞭	8322	del_prim
fuquchang	副区长	8292	del_wrong
muliaochang	幕僚长	8262	del_wrong
zhanggang	长冈	8246	del_prim
zunchongqunzhong	尊重群众	8241	del_wrong
chongdiyin	重低音	8228	del_wrong
futingchang	副厅长	8217	del_wrong
shierxing	十二行	8183	del_prim
jinhangxing	进行性	8165	del_wrong
zhaochangjinhang	照常进行	8155	del_wrong
zhanggan	长杆	8097	del_prim
chongwei	重味	8091	del_wrong
tuidaozhonglai	推倒重来	8091	del_prim
weihang	威行	8081	del_wrong
hangzhen	行针	8067	del_wrong
shouxing	首行	8061	del_prim
zhonghao	重号	8049	del_prim
hangguan	行馆	7978	del_wrong
yuchang	狱长	7971	del_wrong
zhixing	纸行	7959	del_prim
jianbianyihang	简便易行	7907	del_wrong
zhangtiao	长挑	7836	del_prim
chongchou	重酬	7836	del_wrong
hangxie	行血	7780	del_wrong
hangxue	行血	7780	del_wrong
mengchong	盟重	7615	del_wrong
shouhang	兽行	7615	del_wrong
zhangfengxian	长丰县	7590	del_prim
zhangzhouju	长轴距	7576	del_prim
guanqihang	观其行	7576	del_wrong
banwohang	伴我行	7552	del_wrong
chongrutaishan	重如泰山	7552	del_wrong
duanchong	短重	7552	del_wrong
lianxing	联行	7512	del_prim
bangchong	磅重	7460	del_wrong
chongzhang	重障	7460	del_wrong
chongta	重踏	7422	del_wrong
zhangshao	长勺	7416	del_prim
zhangzhishi	长治市	7409	del_prim
tuichongbi	推重比	7404	del_wrong
zhongdingxiang	重定向	7399	del_prim
hanglve	行略	7387	del_wrong
xiaoxuexiaochang	小学校长	7368	del_wrong
shangwangcanchong	伤亡惨重	7328	del_wrong
jiazhangxing	加长型	7320	del_prim
chongqi	重汽	7273	del_wrong
xingpin	行频	7268	del_prim
zhongtu	重涂	7233	del_prim
zenhang	怎行	7233	del_wrong
chonghuagong	重化工	7157	del_wrong
daluhang	大陆行	7130	del_wrong
changxi	长媳	7099	del_wrong
shiwuchang	事务长	7032	del_wrong
hangjiuling	行酒令	6932	del_wrong
shenhangtaibao	神行太保	6907	del_wrong
zhongpa	重爬	6868	del_prim
sihang	死行	6868	del_wrong
luanhang	乱行	6824	del_wrong
