delete_code	word	freq	why
dajuan	打圈	11841	圈:quan/juan del-wrong b2
abodulei	阿卜杜勒	11837	卜:bo/bu del-prim b2
dierjuan	第二圈	11822	圈:quan/juan del-wrong b2
zuobiaoji	坐标系	11794	系:xi/ji del-wrong b2
huanji	换系	11773	系:xi/ji del-wrong b2
xiaojuanjuan	小圈圈	11625	圈:quan/juan del-wrong b2
xiaojuanquan	小圈圈	11625	圈:quan/juan del-wrong b2
xiaoquanjuan	小圈圈	11625	圈:quan/juan del-wrong b2
tian	堤岸	11595	堤:di/ti del-wrong b2
taojuan	套圈	11573	圈:quan/juan del-wrong b2
shenjingji	神经系	11551	系:xi/ji del-wrong b2
tongbo	桐柏	11379	柏:bai/bo del-wrong b2
yaoshijuan	钥匙圈	11332	圈:quan/juan del-wrong b2
lifune	礼服呢	11328	呢:ne/ni del-prim b2
chating	刹停	11295	刹:sha/cha del-wrong b2
juanliren	圈里人	11263	圈:quan/juan del-wrong b2
fangboti	防波堤	11210	堤:di/ti del-wrong b2
bohu	泊湖	11206	泊:po/bo del-wrong b2
diyijuan	第一圈	11124	圈:quan/juan del-wrong b2
yibolaxin	易卜拉欣	11094	卜:bo/bu del-prim b2
zhaojiao	昭觉	11079	觉:jue/jiao del-wrong b2
biye	鼻咽	11060	咽:yan/ye del-wrong b2
liaoningchenyang	辽宁沈阳	11027	沈:shen/chen del-wrong b2
muji	木系	10989	系:xi/ji del-wrong b2
zainawanni	在哪玩呢	10968	呢:ne/ni del-wrong b2
labolengsi	拉卜楞寺	10954	卜:bo/bu del-prim b2
jiaojuan	焦圈	10895	圈:quan/juan del-wrong b2
zhiji	支系	10888	系:xi/ji del-wrong b2
bosuan	卜算	10868	卜:bo/bu del-prim b2
chenjiamen	沈家门	10819	沈:shen/chen del-wrong b2
bofeng	卜蜂	10806	卜:bo/bu del-prim b2
jiaosheng	觉省	10806	觉:jue/jiao del-wrong b2
yibo	易卜	10805	卜:bo/bu del-prim b2
abodula	阿卜杜拉	10784	卜:bo/bu del-prim b2
jingbo	镜泊	10758	泊:po/bo del-wrong b2
pijuan	皮圈	10755	圈:quan/juan del-wrong b2
wenyijuan	文艺圈	10729	圈:quan/juan del-wrong b2
huoji	火系	10684	系:xi/ji del-wrong b2
huaxueji	化学系	10594	系:xi/ji del-wrong b2
xueguo	削过	10543	削:xue/xiao del-prim b2
shishen	实参	10517	参:can/shen del-wrong b2
nanjijuan	南极圈	10463	圈:quan/juan del-wrong b2
tiejuan	铁圈	10457	圈:quan/juan del-wrong b2
bijuan	币圈	10448	圈:quan/juan del-wrong b2
hanjuan	韩圈	10448	圈:quan/juan del-wrong b2
yanjuan	烟圈	10448	圈:quan/juan del-wrong b2
