# code	word	freq	source
#
# Library file — single source of truth for the pinyin dict.
# Editing rules (2026-06-03+ 治理 architecture):
#
#   - ADD/MODIFY (Class A 加词): hand-add row with source=polish.
#     `make polish-rebuild` propagates the change through pinyin.dict
#     → words.idf to every consumer.
#
#   - DELETE wrong entry (Class D1): delete row + append to
#     `tools/scoring/data/corpus_garbage_filter_v1.tsv` so next
#     digest can't re-admit.
#
#   - HIDE valid entry from Path-1 (Class D2): add to
#     `tools/scoring/data/exclusions_v1.tsv`. DON'T touch this file.
#
#   - INGEST upstream corpus: use corpus-digest tool (TBD), writes
#     source=digested rows + appends digest_log event. Hand-editing
#     digested rows is FINE — they become polish on next pass.
#
# Schema columns:
#   code   pinyin spelling (lowercase, no tones)
#   word   output string
#   freq   raw frequency (u32)
#   source "digested" (from corpus pipeline) | "polish" (hand-edit)
#
aerpade	阿尔帕德	5354	digested
aerpu	阿尔普	3468	digested
aerqiong	阿尔琼	2987	digested
aersasi	阿尔萨斯	10688	digested
aershan	阿尔山	13113	digested
aershanshi	阿尔山市	2987	digested
aersi	阿尔斯	9686	digested
aersilan	阿尔斯兰	5167	digested
aersite	阿尔斯特	8476	digested
aersitong	阿尔斯通	4652	digested
aerta	阿尔塔	8462	digested
aertai	阿尔泰	9515	digested
aertaishan	阿尔泰山	5899	digested
aertaishanmai	阿尔泰山脉	1493	digested
aertamila	阿尔塔米拉	6105	digested
aerte	阿尔忒	7705	digested
aerte	阿尔特	6534	digested
aertemi	阿尔忒弥	7705	digested
aertu	阿尔图	4172	digested
aertuo	阿尔托	8341	digested
aertuofu	阿尔托夫	4422	digested
aerwa	阿尔瓦	7173	digested
aerwaladuo	阿尔瓦拉多	4788	digested
aerwalei	阿尔瓦雷	4193	digested
aerwaluo	阿尔瓦罗	5498	digested
aerwan	阿尔万	2367	digested
aerwei	阿尔韦	2987	digested
aerweisi	阿尔维斯	9906	digested
aerwen	阿尔文	9624	digested
aerxi	阿尔希	3468	digested
aerxi	阿尔西	7328	digested
aerxibofu	阿尔希波夫	3468	digested
afaer	阿法尔	3468	digested
afala	阿法拉	1493	digested
afan	阿帆	9083	digested
afang	阿房	13231	digested
afang	阿芳	11768	digested
afanggong	阿房宫	13420	digested
afanggongfu	阿房宫赋	7836	digested
afanggongyizhi	阿房宫遗址	2987	digested
afangsuo	阿方索	9879	digested
afanti	阿凡提	12733	digested
afei	阿菲	12840	digested
afei	阿非	12535	digested
afei	阿飞	20136	digested
afeili	阿非利	9578	digested
afeilijia	阿非利加	7809	digested
afen	阿芬	9247	digested
afu	阿弗	8441	digested
afu	阿芙	11901	digested
afu	阿附	5922	digested
afuer	阿弗尔	2367	digested
afuhan	阿富汗	25734	digested
afuhanren	阿富汗人	13045	digested
afulaike	阿弗莱克	4907	digested
afuleer	阿芙乐尔	2367	digested
afuluo	阿佛洛	9359	digested
afusha	阿夫沙	2987	digested
afuyueer	阿芙乐尔	2367	digested
agan	阿甘	16822	digested
agang	阿冈	2367	digested
aganzhengchuan	阿甘正传	13065	digested
aganzhengzhuan	阿甘正传	13065	digested
age	阿哥	18748	digested
age	阿戈	10001	digested
age	阿格	14917	digested
agege	阿哥哥	5286	digested
agela	阿格拉	10194	digested
ageli	阿格里	12587	digested
agen	阿根	24148	digested
ageni	阿格尼	6344	digested
agenting	阿根廷	27659	digested
agentingdui	阿根廷队	11918	digested
agentinggang	阿根廷港	1493	digested
agentinggongheguo	阿根廷共和国	2987	digested
agentinggonghuoguo	阿根廷共和国	2987	digested
agentinghaijun	阿根廷海军	1493	digested
agentingzhengfu	阿根廷政府	1493	digested
agesi	阿戈斯	4734	digested
agesi	阿格斯	6421	digested
agesidi	阿戈斯蒂	4193	digested
agong	阿公	12015	digested
agongapo	阿公阿婆	6868	digested
agou	阿狗	17230	digested
agouamao	阿狗阿猫	8091	digested
agu	阿古	11921	digested
agubo	阿古柏	8104	digested
agui	阿桂	11144	digested
agui	阿龟	9795	digested
aguo	阿国	9282	digested
aha	啊哈	29067	digested
aha	阿哈	23260	digested
ahaer	阿哈尔	3094	digested
ahai	阿海	8580	digested
ahe	阿河	6824	digested
aheha	呵呵哈	17643	digested
ahema	阿合马	4734	digested
ahemaide	阿赫迈德	2367	digested
ahemo	阿赫默	2367	digested
aheng	阿亨	9154	digested
aheng	阿衡	11824	digested
ahong	阿訇	12973	digested
ahuang	阿黄	16646	digested
ahui	阿辉	8323	digested
ai	僾	5286	digested
ai	叆	6242	digested
ai	哀	33279	digested
ai	哎	39750	digested
ai	唉	37694	digested
ai	啀	5930	digested
ai	嗌	13453	digested
ai	嗳	18228	digested
ai	埃	33329	digested
ai	娭	12730	digested
ai	嫒	10412	digested
ai	挨	34325	digested
ai	敳	2987	digested
ai	暧	24640	digested
ai	欸	23424	digested
ai	毐	11231	digested
ai	爱	51458	digested
ai	瑷	11193	digested
ai	癌	31959	digested
ai	皑	18987	digested
ai	瞹	3468	digested
ai	矮	35939	digested
ai	砹	12571	digested
ai	碍	32612	digested
ai	艾	38240	digested
ai	蔼	18516	digested
ai	譪	2367	digested
ai	锿	6134	digested
ai	隘	23810	digested
ai	霭	15660	digested
aiai	皑皑	17619	digested
aiaide	矮矮的	4640	digested
aiaidi	矮矮的	4640	digested
aiaijiao	唉唉叫	3094	digested
aiaipangpang	矮矮胖胖	7552	digested
aiaitai	爱爱太	5375	digested
aian	爱安	5375	digested
aiaoni	爱奥尼	10724	digested
aiaowa	艾奥瓦	7466	digested
aiaowazhou	艾奥瓦州	5527	digested
aiba	埃巴	3135	digested
aibaidou	艾拜都	1493	digested
aibaidu	艾拜都	1493	digested
aibanjie	矮半截	5930	digested
aibanzi	挨板子	11606	digested
aibeier	埃贝尔	1493	digested
aibeier	艾贝尔	5375	digested
