# pinyin	word	freq_score
# generated by pinyin-build-weights — DO NOT EDIT BY HAND. Regenerate via:
#   cargo run --features tools --release --bin pinyin-build-weights
afengsuo	阿丰索	0
afu	阿芙	14477
afudao	阿福道	0
afuer	阿弗尔	4589
afuha	阿富哈	0
afuhan	阿富汉	0
afuhan	阿富汗	30629
afuhanren	阿富汗人	18252
afula	阿夫拉	0
afulaike	阿弗莱克	8686
afuleer	阿芙乐尔	4589
afuluo	阿佛洛	18145
afuluoer	阿弗罗尔	0
afunuo	阿富诺	0
afusha	阿夫沙	5791
afutan	阿夫坦	0
afuyueer	阿芙乐尔	4589
agang	阿冈	4589
aganzhen	阿干镇	0
aganzhengchuan	阿甘正传	7485
aganzhengzhuan	阿甘正传	7485
age	阿哥	19964
age	阿戈	16889
age	阿格	22473
agebu	阿格布	0
ageda	阿格达	0
agege	阿哥哥	0
agela	阿格拉	14345
ageli	阿格丽	0
ageli	阿格利	0
ageli	阿格里	21068
ageluo	阿格罗	0
agen	阿根	25630
ageni	阿格尼	12300
agenie	阿格涅	0
agenting	阿根廷	29337
agentingdui	阿根廷队	9178
agentinggang	阿根廷港	2895
agentinggongheguo	阿根廷共和国	5791
agentinggonghuoguo	阿根廷共和国	5791
agentinghaijun	阿根廷海军	2895
agentinghu	阿根廷湖	0
agentingzhengfu	阿根廷政府	2895
agesi	阿戈斯	9178
agesi	阿格斯	10380
agesidi	阿戈斯蒂	8129
agong	阿公	15410
agongapo	阿公阿婆	0
agou	阿狗	11024
agouamao	阿狗阿猫	0
agu	阿古	17922
aguawei	阿瓜维	0
aguaweng	阿姑阿翁	0
agubai	阿古柏	15712
agubo	阿古柏	15712
aguidai	阿桂代	0
aguo	阿国	8129
agusiding	阿古斯丁	0
agusijin	阿古斯金	0
agusita	阿古斯塔	0
aha	啊哈	0
aha	阿哈	17865
ahaer	阿哈尔	0
ahafu	阿哈福	0
ahai	阿海	6723
ahajiaer	阿哈加尔	0
ahe	阿河	6723
ahedaixiao	呵呵大笑	0
ahedaxiao	呵呵大笑	0
aheha	呵呵哈	0
aheluomeiyefu	阿赫罗梅耶夫	0
ahema	阿合马	9178
ahema	阿赫玛	0
ahemaide	阿赫迈德	4589
ahemo	阿赫默	4589
ahemu	阿禾姆	0
aheng	阿亨	17747
aheqi	阿合奇	0
aheqixian	阿合奇县	0
aheye	阿贺野	0
ahong	阿訇	17240
ahuazhi	阿华之	0
ahuinan	阿会喃	0
ahuomu	阿霍姆	0
ai	㕌	0
ai	㗒	0
ai	㘷	0
ai	㝶	0
ai	㢊	0
ai	㤅	0
