# words.tsv — Phase 2 ingest from CC-CEDICT + HSK 2.0
# Schema: code\tword\treading_path\ttier\tsource
# reading_path: [char|reading][char|reading]... showing
#   exactly which reading of each char is used.
# tier: 1-3 HSK / 4-6 cedict by word length.
dangdi	当地	[当|dāng][地|dì]	2	cedict+hsk4
dangran	当然	[当|dāng][然|rán]	2	cedict+hsk3
dangshi	当时	[当|dāng][时|shí]	2	cedict+hsk4
dangshi	当时	[当|dāng][时|shí]	2	cedict+hsk4
danxin	担心	[担|dān][心|xīn]	2	cedict+hsk3
daochu	到处	[到|dào][处|chù]	2	cedict+hsk4
daodi	到底	[到|dào][底|dǐ]	2	cedict+hsk4
daoqian	道歉	[道|dào][歉|qiàn]	2	cedict+hsk4
daoyou	导游	[导|dǎo][游|yóu]	2	cedict+hsk4
darao	打扰	[打|dǎ][扰|rǎo]	2	cedict+hsk4
dasao	打扫	[打|dǎ][扫|sǎo]	2	cedict+hsk3
dashiguan	大使馆	[大|dà][使|shǐ][馆|guǎn]	2	cedict+hsk4
dasuan	打算	[打|dǎ][算|suàn]	2	cedict+hsk3
dayin	打印	[打|dǎ][印|yìn]	2	cedict+hsk4
dayue	大约	[大|dà][约|yuē]	2	cedict+hsk4
dazhe	打折	[打|dǎ][折|zhé]	2	cedict+hsk4
dazhen	打针	[打|dǎ][针|zhēn]	2	cedict+hsk4
deyi	得意	[得|dé][意|yì]	2	cedict+hsk4
dianti	电梯	[电|diàn][梯|tī]	2	cedict+hsk3
dianzi	电子	[电|diàn][子|zi]	2	cedict+hsk3
diaocha	调查	[调|diào][查|chá]	2	cedict+hsk4
difang	地方	[地|dì][方|fāng]	2	cedict+hsk3
difang	地方	[地|dì][方|fāng]	2	cedict+hsk3
diqiu	地球	[地|dì][球|qiú]	2	cedict+hsk4
ditie	地铁	[地|dì][铁|tiě]	2	cedict+hsk3
ditu	地图	[地|dì][图|tú]	2	cedict+hsk3
dizhi	地址	[地|dì][址|zhǐ]	2	cedict+hsk4
dongwu	动物	[动|dòng][物|wù]	2	cedict+hsk3
dongzuo	动作	[动|dòng][作|zuò]	2	cedict+hsk4
duanlian	锻炼	[锻|duàn][炼|liàn]	2	cedict+hsk3
duche	堵车	[堵|dǔ][车|chē]	2	cedict+hsk4
duihua	对话	[对|duì][话|huà]	2	cedict+hsk4
duimian	对面	[对|duì][面|miàn]	2	cedict+hsk4
duome	多么	[多|duō][么|me]	2	cedict+hsk3
duzi	肚子	[肚|dù][子|zi]	2	cedict+hsk4
erduo	耳朵	[耳|ěr][朵|duǒ]	2	cedict+hsk3
erqie	而且	[而|ér][且|qiě]	2	cedict+hsk3
ertong	儿童	[儿|ér][童|tóng]	2	cedict+hsk4
falv	法律	[法|fǎ][律|lǜ]	2	cedict+hsk4
fandui	反对	[反|fǎn][对|duì]	2	cedict+hsk4
fangbian	方便	[方|fāng][便|biàn]	2	cedict+hsk3
fangfa	方法	[方|fāng][法|fǎ]	2	cedict+hsk4
fangmian	方面	[方|fāng][面|miàn]	2	cedict+hsk4
fangqi	放弃	[放|fàng][弃|qì]	2	cedict+hsk4
fangshujia	放暑假	[放|fàng][暑|shǔ][假|jiǎ]	2	cedict+hsk4
fangwen	访问	[访|fǎng][问|wèn]	2	cedict+hsk4
fangxiang	方向	[方|fāng][向|xiàng]	2	cedict+hsk4
fangxin	放心	[放|fàng][心|xīn]	2	cedict+hsk3
fannao	烦恼	[烦|fán][恼|nǎo]	2	cedict+hsk4
fanwei	范围	[范|fàn][围|wéi]	2	cedict+hsk4
fanyi	翻译	[翻|fān][译|yì]	2	cedict+hsk4
fanying	反映	[反|fǎn][映|yìng]	2	cedict+hsk4
fashao	发烧	[发|fā][烧|shāo]	2	cedict+hsk3
fasheng	发生	[发|fā][生|shēng]	2	cedict+hsk4
faxian	发现	[发|fā][现|xiàn]	2	cedict+hsk3
fazhan	发展	[发|fā][展|zhǎn]	2	cedict+hsk4
fengfu	丰富	[丰|fēng][富|fù]	2	cedict+hsk4
fengjing	风景	[风|fēng][景|jǐng]	2	cedict+hsk4
fenzhi	分之	[分|fēn][之|zhī]	2	cedict+hsk4
fouze	否则	[否|fǒu][则|zé]	2	cedict+hsk4
fuhe	符合	[符|fú][合|hé]	2	cedict+hsk4
fujin	附近	[附|fù][近|jìn]	2	cedict+hsk3
fuqin	父亲	[父|fù][亲|qīn]	2	cedict+hsk4
fuxi	复习	[复|fù][习|xí]	2	cedict+hsk3
fuyin	复印	[复|fù][印|yìn]	2	cedict+hsk4
fuza	复杂	[复|fù][杂|zá]	2	cedict+hsk4
fuze	负责	[负|fù][责|zé]	2	cedict+hsk4
gaibian	改变	[改|gǎi][变|biàn]	2	cedict+hsk4
ganbei	干杯	[干|gàn][杯|bēi]	2	cedict+hsk4
gandong	感动	[感|gǎn][动|dòng]	2	cedict+hsk4
gangcai	刚才	[刚|gāng][才|cái]	2	cedict+hsk3
gangcai	刚才	[刚|gāng][才|cái]	2	cedict+hsk3
ganggang	刚刚	[刚|gāng][刚|gāng]	2	cedict+hsk4
ganjing	干净	[干|gàn][净|jìng]	2	cedict+hsk3
ganjue	感觉	[感|gǎn][觉|jué]	2	cedict+hsk4
ganmao	感冒	[感|gǎn][冒|mào]	2	cedict+hsk3
ganqing	感情	[感|gǎn][情|qíng]	2	cedict+hsk4
ganxie	感谢	[感|gǎn][谢|xiè]	2	cedict+hsk4
ganzao	干燥	[干|gàn][燥|zào]	2	cedict+hsk4
gaoji	高级	[高|gāo][级|jí]	2	cedict+hsk4
genju	根据	[根|gēn][据|jù]	2	cedict+hsk3
gezi	个子	[个|gè][子|zi]	2	cedict+hsk4
gongju	工具	[工|gōng][具|jù]	2	cedict+hsk4
gongli	公里	[公|gōng][里|lǐ]	2	cedict+hsk4
gongtong	共同	[共|gòng][同|tóng]	2	cedict+hsk4
gongyuan	公园	[公|gōng][园|yuán]	2	cedict+hsk3
gongzi	工资	[工|gōng][资|zī]	2	cedict+hsk4
gouwu	购物	[购|gòu][物|wù]	2	cedict+hsk4
guangbo	广播	[广|guǎng][播|bō]	2	cedict+hsk4
guanggao	广告	[广|guǎng][告|gào]	2	cedict+hsk4
guanjian	关键	[关|guān][键|jiàn]	2	cedict+hsk4
guanli	管理	[管|guǎn][理|lǐ]	2	cedict+hsk4
guanxi	关系	[关|guān][系|xì]	2	cedict+hsk3
guanxin	关心	[关|guān][心|xīn]	2	cedict+hsk3
guanyu	关于	[关|guān][于|yú]	2	cedict+hsk3
guanzhong	观众	[观|guān][众|zhòng]	2	cedict+hsk4
gudan	孤单	[孤|gū][单|dān]	2	cedict+hsk4
guiding	规定	[规|guī][定|dìng]	2	cedict+hsk4
guji	估计	[估|gū][计|jì]	2	cedict+hsk4
guke	顾客	[顾|gù][客|kè]	2	cedict+hsk4
guli	鼓励	[鼓|gǔ][励|lì]	2	cedict+hsk4
guocheng	过程	[过|guò][程|chéng]	2	cedict+hsk4
guoji	国际	[国|guó][际|jì]	2	cedict+hsk4
guojia	国家	[国|guó][家|jiā]	2	cedict+hsk3
