a	あ
otoshii	おとしい
otozu	おとず
otsu	おつ
ou	おう
ougi	おうぎ
owa	おわ
owasu	おわす
oyo	およ
oyobi	および
ra	ら
rai	らい
raku	らく
ran	らん
ratsu	らつ
rei	れい
reki	れき
ren	れん
retsu	れつ
ri	り
riku	りく
rin	りん
ritsu	りつ
ro	ろ
roku	ろく
ron	ろん
rou	ろう
rousoku	ろうそく
ru	る
rui	るい
ryaku	りゃく
ryo	りょ
ryoku	りょく
ryou	りょう
ryuu	りゅう
sa	さ
sabi	さび
sachi	さち
sada	さだ
saegi	さえぎ
saga	さが
sagesu	さげす
sagi	さぎ
sai	さい
saina	さいな
saiwa	さいわ
saiwai	さいわい
saka	さか
sakaduki	さかづき
sakaki	さかき
sakan	さかん
sakana	さかな
sakanobo	さかのぼ
sakasa	さかさ
sakasama	さかさま
sakashima	さかしま
sakazuki	さかずき
sake	さけ
saki	さき
sakigake	さきがけ
saku	さく
sakura	さくら
sama	さま
samata	さまた
sami	さみ
samu	さむ
samurai	さむらい
san	さん
sanchi	さんち
sao	さお
sara	さら
sarashi	さらし
saru	さる
sasa	ささ
sashi	さし
sashigane	さしがね
sashihasa	さしはさ
sashiwatashi	さしわたし
saso	さそ
sasu	さす
sato	さと
satoi	さとい
satsu	さつ
sawa	さわ
sawaga	さわが
saya	さや
sazanami	さざなみ
sazu	さず
se	せ
seba	せば
sebone	せぼね
sechi	せち
sei	せい
seki	せき
sema	せま
semi	せみ
sen	せん
sento	せんと
seri	せり
setsu	せつ
sha	しゃ
shabe	しゃべ
shaku	しゃく
shi	し
shiawa	しあわ
shiba	しば
shibara	しばら
shibo	しぼ
shibu	しぶ
shibuki	しぶき
shichi	しち
shigara	しがら
shigarami	しがらみ
shige	しげ
shiita	しいた
shika	しか
shikari	しかり
shikaruni	しかるに
shiki	しき
shiko	しこ
shima	しま
shime	しめ
shimoto	しもと
shin	しん
shina	しな
shinnyou	しんにょう
shino	しの
shinogu	しのぐ
shio	しお
shiori	しおり
shira	しら
shirase	しらせ
shirizo	しりぞ
shiro	しろ
shiroginu	しろぎぬ
shiru	しる
shirushi	しるし
shirusu	しるす
shishi	しし
shita	した
shitaga	したが
shitagaki	したがき
shitagau	したがう
shitata	したた
shito	しと
shitsu	しつ
shizu	しず
shizuka	しずか
shizuku	しずく
sho	しょ
shoku	しょく
shou	しょう
shu	しゅ
shuku	しゅく
shun	しゅん
shutsu	しゅつ
shuu	しゅう
so	そ
soba	そば
sode	そで
soko	そこ
soku	そく
somu	そむ
son	そん
sona	そな
sone	そね
sono	その
sora	そら
soregashi	それがし
sori	そり
soro	そろ
soshi	そし
soso	そそ
sosonoka	そそのか
sotsu	そつ
sou	そう
sourou	そうろう
soyogu	そよぐ
sozo	そぞ
sozoroni	そぞろに
su	す
subaru	すばる
sube	すべ
subekara	すべから
subeshi	すべし
subo	すぼ
sudare	すだれ
sude	すで
sue	すえ
sugata	すがた
suge	すげ
sugi	すぎ
sugiru	すぎる
sugo	すご
sugu	すぐ
sui	すい
suji	すじ
suki	すき
suko	すこ
sukobu	すこぶ
suku	すく
sumi	すみ
sumire	すみれ
sumomo	すもも
sun	すん
suna	すな
sunawa	すなわ
sunawachi	すなわち
surudo	するど
susa	すさ
suso	すそ
susu	すす
susuki	すすき
susume	すすめ
suu	すう
suwa	すわ
suwae	すわえ
suzu	すず
suzume	すずめ
suzuri	すずり
ta	た
tabaka	たばか
tabi	たび
tachi	たち
tachibana	たちばな
tachima	たちま
tachimachi	たちまち
tada	ただ
