# code	word	freq	source	class_hint
tata	踏踏	20822	digested	unknown
kuku	酷酷	20818	digested	unknown
xixi	吸吸	20813	digested	unknown
duanduan	断断	20811	digested	unknown
binbin	彬彬	20796	digested	unknown
rourou	揉揉	20705	digested	unknown
liaoliao	寥寥	20699	digested	unknown
wowo	窝窝	20655	digested	unknown
bobo	啵啵	20646	digested	unknown
jiajia	加加	20642	digested	unknown
yaoyao	咬咬	20639	digested	unknown
nini	尼尼	20618	digested	unknown
jiejie	解解	20615	digested	unknown
tangtang	糖糖	20605	digested	unknown
xinxin	昕昕	20593	digested	name
shushu	数数	20575	digested	verb_redup
lili	里里	20555	digested	unknown
langlang	浪浪	20527	digested	unknown
taotao	滔滔	20524	digested	unknown
renren	认认	20521	digested	unknown
sousou	搜搜	20496	digested	unknown
zhizhi	指指	20478	digested	unknown
longlong	隆隆	20458	digested	unknown
fengfeng	风风	20431	digested	unknown
shengsheng	省省	20417	digested	unknown
honghong	哄哄	20414	digested	unknown
lala	辣辣	20412	digested	adj_redup
qiaoqiao	敲敲	20407	digested	unknown
youyou	油油	20392	digested	unknown
zhuangzhuang	装装	20376	digested	unknown
lulu	璐璐	20369	digested	unknown
pengpeng	砰砰	20348	digested	unknown
qianqian	钱钱	20326	digested	unknown
paipai	排排	20321	digested	unknown
fangfang	芳芳	20304	digested	name
zizi	仔仔	20230	digested	unknown
momo	嬷嬷	20228	digested	unknown
chunchun	蠢蠢	20226	digested	unknown
xiaoxiao	潇潇	20221	digested	unknown
suisui	随随	20219	digested	unknown
taotao	韬韬	20202	digested	unknown
shanshan	山山	20195	digested	unknown
qiqi	气气	20169	digested	unknown
cancan	灿灿	20134	digested	unknown
junjun	军军	20114	digested	unknown
tongtong	彤彤	20111	digested	unknown
jinjin	津津	20102	digested	unknown
fengfeng	峰峰	20095	digested	unknown
baba	八八	20094	digested	unknown
tengteng	腾腾	20084	digested	unknown
nannan	南南	20080	digested	unknown
banban	班班	20062	digested	unknown
shasha	沙沙	20050	digested	unknown
lielie	咧咧	20015	digested	unknown
taotao	涛涛	20003	digested	name
mimi	幂幂	19976	digested	unknown
caicai	菜菜	19974	digested	unknown
zhuangzhuang	壮壮	19973	digested	unknown
saosao	嫂嫂	19967	digested	unknown
langlang	朗朗	19957	digested	unknown
benben	笨笨	19943	digested	unknown
mumu	木木	19937	digested	unknown
caicai	裁裁	19912	digested	unknown
zhazha	喳喳	19910	digested	unknown
weiwei	维维	19905	digested	unknown
titi	提提	19896	digested	unknown
chongchong	冲冲	19857	digested	unknown
mimi	密密	19852	digested	adj_redup
linlin	淋淋	19846	digested	unknown
yuyu	雨雨	19840	digested	unknown
jiaojiao	娇娇	19819	digested	unknown
daidai	代代	19807	digested	unknown
yangyang	养养	19802	digested	unknown
hunhun	混混	19798	digested	unknown
yunyun	云云	19774	digested	unknown
lili	历历	19751	digested	unknown
dingding	叮叮	19749	digested	unknown
shanshan	珊珊	19749	digested	unknown
cuncun	村村	19743	digested	unknown
kaikai	凯凯	19743	digested	unknown
banban	斑斑	19729	digested	unknown
gaogao	搞搞	19727	digested	verb_redup
junjun	俊俊	19717	digested	unknown
toutou	透透	19716	digested	unknown
lanlan	蓝蓝	19714	digested	unknown
guigui	鬼鬼	19708	digested	unknown
sasa	洒洒	19708	digested	unknown
qianqian	浅浅	19704	digested	adj_redup
dede	得得	19641	digested	unknown
dedei	得得	19641	digested	unknown
deide	得得	19641	digested	unknown
deidei	得得	19641	digested	unknown
bianbian	边边	19627	digested	unknown
rongrong	茸茸	19622	digested	unknown
hunhun	昏昏	19590	digested	unknown
kunkun	坤坤	19584	digested	unknown
xiaxia	夏夏	19572	digested	unknown
tantan	探探	19564	digested	unknown
rongrong	融融	19560	digested	unknown
chouchou	臭臭	19524	digested	adj_redup
huohuo	霍霍	19489	digested	unknown
yaya	丫丫	19473	digested	unknown
chuanchuan	穿穿	19449	digested	unknown
changchang	场场	19447	digested	unknown
huanghuang	惶惶	19439	digested	unknown
zaizai	崽崽	19389	digested	unknown
jiejie	接接	19337	digested	unknown
nienie	捏捏	19324	digested	unknown
chaochao	吵吵	19311	digested	unknown
huhu	虎虎	19309	digested	name
yaoyao	瑶瑶	19301	digested	name
chongchong	虫虫	19292	digested	unknown
shishi	世世	19248	digested	unknown
yiyi	熠熠	19214	digested	unknown
huhu	户户	19174	digested	unknown
guagua	瓜瓜	19169	digested	unknown
yuyu	鱼鱼	19169	digested	unknown
tutu	秃秃	19164	digested	unknown
xiaoxiao	校校	19152	digested	unknown
susu	素素	19143	digested	unknown
laolao	唠唠	19134	digested	unknown
yingying	莹莹	19127	digested	unknown
haohao	浩浩	19094	digested	name
dongdong	洞洞	19090	digested	unknown
feifei	非非	19083	digested	unknown
shishi	市市	19064	digested	unknown
xingxing	惺惺	19040	digested	unknown
tuotuo	拖拖	19032	digested	unknown
piaopiao	漂漂	19015	digested	unknown
juanjuan	卷卷	18992	digested	unknown
papa	爬爬	18980	digested	unknown
sensen	森森	18971	digested	unknown
nini	腻腻	18961	digested	unknown
hehe	合合	18938	digested	unknown
shoushou	收收	18929	digested	unknown
qianqian	茜茜	18922	digested	unknown
congcong	聪聪	18920	digested	name
xuxu	嘘嘘	18915	digested	unknown
lili	粒粒	18912	digested	unknown
yiyi	姨姨	18906	digested	unknown
zhouzhou	州州	18906	digested	unknown
susu	苏苏	18897	digested	unknown
lulu	陆陆	18885	digested	unknown
quanquan	拳拳	18862	digested	unknown
tongtong	痛痛	18855	digested	unknown
guanguan	关关	18842	digested	unknown
qianqian	倩倩	18841	digested	unknown
wenwen	文文	18840	digested	unknown
