# code	word	layer	freq	source
#
# Library file — single source of truth for the wubi dict.
# Editing rules (2026-06-03+ 治理 architecture):
#
#   - ADD/MODIFY (Class A 加词): hand-add row with source=polish.
#     `make polish-rebuild` propagates the change to wubi.dict / words.idf.
#
#   - DELETE wrong entry (Class D1): delete row + append to
#     `tools/scoring/data/corpus_garbage_filter_v1.tsv` so next
#     digest can't re-admit.
#
#   - HIDE valid entry from Path-1 (Class D2): tier_overlay.tsv tier 5+
#     (wubi side hasn't needed a separate exclusions file yet).
#
#   - INGEST upstream corpus: corpus-digest tool (TBD), writes
#     source=digested + appends digest_log event.
#
# Schema columns:
#   code   wubi code (1-4 letters)
#   word   output string
#   layer  wubi layer index (0..5: Jianma1/2/3, Zigen, Auto, Phrase)
#   freq   raw frequency (u32)
#   source "digested" | "polish"
#
aatn	蘙	0	0	digested
aatq	荛	0	7310	digested
aats	戒条	1	7396	digested
aatt	工笔	1	11647	digested
aatu	工科	1	20935	digested
aatu	莫斯科	1	28583	digested
aatv	戒律	1	20829	digested
aatx	𢐯	0	0	digested
aaty	切切私语	1	0	digested
aau	芅	3	0	digested
aaud	工头	1	19244	digested
aauf	工装	1	14576	digested
aauj	工间	1	0	digested
aauk	工部	1	24523	digested
aaum	工商	1	28944	digested
aauq	工资	1	30125	digested
aauq	欺世盗名	1	0	digested
aauv	黄花闺女	1	0	digested
aavb	苆	0	0	digested
aavn	戒刀	1	0	digested
aavv	勤勤恳恳	1	19021	digested
aawb	花花公子	1	15167	digested
aawd	工段	1	12919	digested
aawf	工会	1	28731	digested
aawi	勤工俭学	1	16405	digested
aawi	𢦶	0	0	digested
aawi	𤁱	0	0	digested
aawk	𤨑	0	0	digested
aawn	劳燕分飞	1	0	digested
aawo	𦿂	0	0	digested
aawo	𪀦	0	0	digested
aawr	工件	1	13276	digested
aaws	欧共体	1	10571	digested
aaws	𤨓	0	0	digested
aawt	工作	1	45931	digested
aawu	茹苦含辛	1	0	digested
aawu	𦮎	0	0	digested
aawv	匶	0	0	digested
aawv	工分	1	18085	digested
aawv	𠥬	0	0	digested
aaww	工人	1	35076	digested
aaww	莁	0	0	digested
aawy	𦼉	0	0	digested
aaxg	警戒线	1	17848	digested
aaxj	医药费	1	17644	digested
aaxl	工细	1	11560	digested
aaxx	花花绿绿	1	0	digested
aayc	工序	1	22131	digested
aaym	东莞市	1	18427	digested
aayo	匿迹	1	15878	digested
aayp	花落谁家	1	0	digested
aays	𡐽	0	0	digested
aayt	工薪族	1	7269	digested
aayy	斯斯文文	1	0	digested
ab	节	4	37341	digested
abab	节节	1	21417	digested
abad	萨斯	1	26560	digested
abae	𦹥	0	0	digested
abag	若隐若现	1	14948	digested
abaq	菡萏	1	12825	digested
abat	荫翳	1	0	digested
abau	荫蔽	1	9554	digested
abb	𦫾	0	0	digested
abb	𦬎	0	0	digested
abbj	𦳃	0	0	digested
abcc	𧅞	0	0	digested
abce	节能	1	19526	digested
abci	藂	0	0	digested
abco	𦼈	0	0	digested
abcs	𦺵	0	0	digested
abcu	菆	0	0	digested
abcu	𩢗	0	0	digested
abde	䔺	0	0	digested
abde	𦳉	0	0	digested
abdi	𦲶	0	0	digested
abdp	𧁼	0	0	digested
abdt	英联邦	1	17793	digested
abdw	节奏	1	28110	digested
abe	荫	3	21260	digested
abef	荫	0	21260	digested
