# code	trad	simp_peer	layer	freq
nuyy	憫	悯	0	17258
nxfm	慣	惯	0	26678
odmy	煩	烦	0	23493
ofwm	㸇	𤎺	0	0
okmy	熉	𤈶	0	0
oodm	顃	𩖖	0	0
oqmd	煥	焕	0	21056
ouny	燜	焖	0	13015
ouwy	熌	𤇄	0	0
oxim	纇	颣	0	8533
pfjc	騫	骞	0	15151
pfjm	賽	赛	0	34081
plbh	鄆	郓	0	9426
plhc	皸	皲	0	0
plj	軍	军	3	36418
ptkm	額	额	0	31153
pugm	襀	𫌀	0	0
pugm	襰	𧝝	0	0
pukm	䙡	䙌	0	0
pulp	褳	裢	0	0
pupl	褌	裈	0	6474
putd	襖	袄	0	11203
puui	襴	襕	0	9010
puuj	襇	裥	0	0
puyl	褲	裤	0	23847
pwaj	𥨐	𥧂	0	0
pwfq	窺	窥	0	18343
pyhm	禎	祯	0	18759
qadk	鍩	锘	0	0
qadw	錤	𫓹	0	0
qafg	鉗	钳	0	17742
qafj	鐯	䦃	0	0
qahb	鋣	铘	0	0
qahc	𩣏	𩧶	0	0
qaht	釾	䥺	0	0
qajd	鏌	镆	0	0
qajg	錯	错	0	29503
qakg	鉕	钷	0	0
qalg	錨	锚	0	17125
qamd	鍈	锳	0	0
qamw	鐄	𨱑	0	0
qant	鉞	钺	0	13332
qany	鋱	铽	0	7978
qawc	鑊	镬	0	18234
qawk	鎝	𨱏	0	0
qawy	鉷	𫟹	0	5961
qay	釴	𬬩	3	0
qayn	鋩	铓	0	0
qbg	鉺	铒	3	0
qbh	釕	钌	3	10284
qblg	錳	锰	0	14495
qbmh	鈯	𨱄	0	0
qbsk	錒	锕	0	17457
qcbk	鐍	𫔎	0	0
qcn	鈀	钯	3	9796
qcyy	釵	钗	0	15452
qdbm	頠	𬱟	0	13939
qdcy	鈸	钹	0	12102
qdeg	銪	铕	0	16142
qdfa	錛	锛	0	0
qdg	鈷	钴	3	14933
qdhd	鍥	锲	0	9347
qdhv	鏏	𬭬	0	0
qdmh	鈽	钸	0	15872
qdnt	鋮	铖	0	8267
qdsk	錡	锜	0	15638
qdtb	𨧜	䦁	0	0
qdui	鐐	镣	0	13146
qduw	鐝	镢	0	0
qdyy	鈦	钛	0	19068
qefc	鍰	锾	0	10284
qefy	鋝	锊	0	0
qeg	鈅	钥	3	0
qegl	鋤	锄	0	13731
qet	釤	钐	3	14452
qeyy	鈒	钑	0	0
qffg	銈	𫓯	0	0
qfg	釷	钍	3	13677
qfh	針	针	3	29837
qfhw	鎮	镇	0	29652
qfiy	銶	𨱇	0	0
qfkk	𨭎	𬭳	0	0
qflg	鐳	镭	0	16648
qftj	鍺	锗	0	17202
qftn	銬	铐	0	17883
qftx	銠	铑	0	8533
qfwt	錂	𨱋	0	0
qfwy	鈇	𫓧	0	12738
qgah	鈃	钘	0	9224
qgaj	鉶	铏	0	0
qgbn	鈍	钝	0	17324
qgcf	銍	铚	0	0
qgef	鎛	镈	0	11203
qgeg	錆	锖	0	0
qgey	鋪	铺	0	26904
qghg	鉦	钲	0	7310
qghn	鈣	钙	0	20151
qgiy	鈈	钚	0	15087
qgkg	鋙	铻	0	0
qgkh	鎘	镉	0	11922
qgki	鋉	𨱈	0	0
qgkw	鏉	𨱒	0	0
qgxg	𨥛	𨱀	0	0
qgyy	鈺	钰	0	18782
qhcy	鈹	铍	0	18409
qhg	鉬	钼	3	14135
qhkg	鉆	钻	0	8780
qhy	釙	钋	3	11203
qieg	銷	销	0	30484
qihc	𨨏	𬭛	0	0
qimy	鎖	锁	0	27997
qipf	鏜	镗	0	0
qipq	鎲	镋	0	0
qiqn	銚	铫	0	10129
qitt	鈔	钞	0	21128
qjfg	鋰	锂	0	19020
qjgf	鍀	锝	0	17439
qjgg	鉭	钽	0	16320
qjh	釗	钊	3	17577
qjhh	鉮	𬬹	0	0
qjjg	錩	锠	0	0
qjlc	鏝	镘	0	0
qjqr	錫	锡	0	25222
qjsy	錁	锞	0	0
qjxx	錕	锟	0	12513
qkeg	鋗	𫓶	0	0
qkgg	鋥	锃	0	0
qkh	釧	钏	3	11316
qkhh	鈡	钟	0	0
qkkg	鋁	铝	0	19991
qkkn	鍔	锷	0	12620
qkmh	銱	铞	0	0
qldg	錮	锢	0	15668
qldy	銦	铟	0	6918
qlfo	𨭆	𬭶	0	0
qlg	鈿	钿	3	12188
qlge	鐶	镮	0	10432
qlh	鉀	钾	3	18601
qlny	鍶	锶	0	13015
qlpy	鏈	链	0	25614
qlqj	鐲	镯	0	12879
qlxi	鏍	镙	0	0
