# code	trad	simp_form	layer	freq
gilf	盃	杯	0	24996
gipl	璫	珰	0	9010
giwj	𠁞	𠀾	0	0
giwo	鴀	𫛜	0	0
gjgr	瑒	玚	0	0
gjhb	鄟	𫑘	0	0
gjhf	專	专	0	33888
gjii	東	东	0	35392
gjio	鶇	鸫	0	7310
gjqg	甦	苏	0	22476
gkgh	羋	芈	0	9796
gkhm	璝	𪻺	0	6918
gkin	𢤿	𪬯	0	0
gkio	鶒	𫛶	0	0
gkmo	鷊	鹝	0	0
gkum	頭	头	0	34069
glge	環	环	0	32544
gliq	𧡴	𫌫	0	0
gmdm	𩔳	𫖴	0	0
gmfk	琱	雕	0	0
gmho	鳾	䴓	0	9796
gmhy	兩	两	0	36981
gmii	棗	枣	0	17944
gmy	珼	𫞥	3	0
gmyo	鸝	鹂	0	5961
gmyx	麗	丽	0	30154
gnhh	瑋	玮	0	18329
gool	𤩂	𫞧	0	0
gpgm	璸	瑸	0	0
gptl	𤪺	㻘	0	0
gqaa	殘	残	0	27048
gqah	殢	𣨼	0	0
gqfm	殰	㱩	0	0
gqgg	殭	僵	0	16492
gqjo	鮤	𫚓	0	0
gqjo	鴷	䴕	0	9426
gqkf	殫	殚	0	10840
gqmt	瓊	琼	0	22906
gqpm	殯	殡	0	20032
gqqc	歿	殁	0	16511
gqrm	瑤	瑶	0	19139
gqto	鰲	鳌	0	14579
gqto	鷔	𪉑	0	0
gqwe	飱	飧	0	0
gqwg	殲	歼	0	21644
gqww	殮	殓	0	15955
gtvh	㻶	𪼋	0	0
gtwh	瑽	𪻐	0	0
gued	瓏	珑	0	15638
gvaf	璕	𬍤	0	0
gvaj	剄	刭	0	0
gval	勁	劲	0	25396
gvam	頸	颈	0	24587
gvap	逕	迳	0	18435
gvaq	巰	巯	0	0
gvgw	璵	玙	0	8533
gwgj	璯	㻅	0	0
gwmf	𨤻	𨤰	0	0
gwmn	𢣭	𢘞	0	0
gwmp	邇	迩	0	14087
gwmq	爾	尔	0	35744
gwmq	覼	𫌨	0	0
gwmy	璽	玺	0	18852
gwwh	𪋿	𫧮	0	0
gwyk	瑲	玱	0	0
gwyp	璡	琎	0	8267
gxfm	瑻	𪻲	0	0
gxrs	瓅	𬍛	0	0
gxxt	璣	玑	0	13271
gyjg	璾	𫞦	0	0
gyto	𪄕	𪉒	0	0
haej	劇	剧	0	32354
haga	戲	戏	0	31766
hagb	齾	𫜰	0	0
hagd	獻	献	0	29156
hahd	矇眬	蒙眬	1	0
hakk	瞘	眍	0	0
hale	膚	肤	0	24658
hall	盧	卢	0	26991
hall	虜	虏	0	21215
halm	顱	颅	0	17805
haln	慮	虑	0	30359
halo	鸕	鸬	0	10840
hamy	瞞	瞒	0	22338
hana	戱	戯	0	0
hang	虛	虚	0	0
hape	矇	蒙	0	12513
hatm	處	处	0	35490
hawn	虧	亏	0	23623
hb	齰	𫜬	4	0
hbaj	齰	𫜬	0	0
hbcn	䶕	𫜨	0	0
hbdk	齮	𬺈	0	10432
hbeg	齟	龃	0	8533
hbgk	齬	龉	0	8533
hbhx	齜	龇	0	0
hbj	齒	齿	3	24302
hbkh	齪	龊	0	7978
hbkn	齶	腭	0	10432
hbnf	齷	龌	0	7978
hbpk	𪙏	𫜯	0	0
hbqk	齣	出	0	19049
hbqn	齙	龅	0	0
hbrh	齗	龂	0	6474
hbrr	齭	𫜭	0	0
hbsh	齼	𬺓	0	0
hbtn	齕	龁	0	7310
hbty	齲	龋	0	10709
hbua	𪘀	𪚏	0	0
hbue	齴	𫜮	0	0
hbuq	齩	𫜪	0	0
hbve	齦	龈	0	17491
hbvk	齠	龆	0	0
hbvq	齯	𫠜	0	0
hbwc	齡	龄	0	28101
hbwj	齘	𬹼	0	0
hbxn	齔	龀	0	0
hcqn	皰	疱	0	13677
hdgj	劌	刿	0	8533
hdgn	翽	翙	0	6918
hdgt	歲	岁	0	33569
hdwo	鶪	䴗	0	0
hdww	䀹	𥅴	0	0
hevh	睜	睁	0	15889
hfuy	𥊝	𥅿	0	0
hggg	鬮	阄	0	11086
hggh	鬥	斗	0	29164
hggh	鬧	闹	0	24608
hggq	鬩	阋	0	11203
hggw	鬨	哄	0	12435
hgwq	𥌃	𥅘	0	0
hhal	矑	𪾦	0	0
hhqn	睍	𪾢	0	0
hidy	𧭹	𫍐	0	0
hiti	縣	县	0	34269
hitn	懸	悬	0	24953
hito	𪃧	𫛹	0	0
hiwo	𪀖	𫛧	0	0
hjwo	鵫	𫛱	0	0
hkgv	瞜	䁖	0	0
hkhq	覘	觇	0	10129
hloa	鹺	鹾	0	0
hlou	鹵	卤	0	19180
hlow	鹼	碱	0	20996
hloy	鹹	咸	0	20265
hlql	𪉸	𫜊	0	0
hlsy	睏	困	0	11790
hnij	矚	瞩	0	19780
hpgf	𧷎	𪠀	0	0
hpgm	矉	𪾸	0	0
hpsh	眝	𪾣	0	0
hqb	見	见	3	34624
hqbd	覎	觃	0	0
hqtt	覹	𫌭	0	0
hsww	睞	睐	0	18248
hued	矓	眬	0	0
hwgw	瞼	睑	0	12948
hwwb	齒	齿	0	24302
hxhf	眥	眦	0	6474
hxqo	鮆	𫚖	0	0
hxrs	䁻	䀥	0	0
hxwo	鴜	𪉈	0	0
iaat	淺	浅	0	24915
iahl	濫	滥	0	24153
iajy	澫	𬇕	0	0
iakk	漚	沤	0	9010
iakw	漢	汉	0	32331
iaky	灘	滩	0	26061
iamn	懣	懑	0	9426
iamy	滿	满	0	32192
iape	濛	蒙	0	17386
iaqh	滯	滞	0	24702
iaqj	潛	潜	0	28088
iaui	灡	㳕	0	0
iavh	瀟	潇	0	14364
iawo	鴻	鸿	0	25311
iawy	滙	汇	0	23910
ibbb	灄	滠	0	0
ibn	氾	泛	3	16758
icce	滲	渗	0	21984
icel	湧	涌	0	24245
iday	濿	𪵱	0	0
idgt	減	减	0	32982
idgt	滅	灭	0	28958
idhi	潔	洁	0	28246
idhl	灩	滟	0	0
idhu	灃	沣	0	10840
idth	瀝	沥	0	18998
idwd	湊	凑	0	21647
idww	浹	浃	0	9426
iefj	瀦	潴	0	6474
ieto	潙	沩	0	0
ievh	淨	净	0	26934
iexo	鸂	㶉	0	0
iffc	澐	沄	0	0
iffq	澆	浇	0	16625
ifjf	溝	沟	0	26942
iflm	瀆	渎	0	19096
ifnf	濤	涛	0	21907
ifup	澾	㳠	0	0
ifwt	淩	凌	0	17047
igeq	㵾	𪷍	0	0
igfh	汙	污	0	20463
ighn	𣽏	𪶮	0	0
igmx	灑	洒	0	20863
igva	涇	泾	0	17421
igvv	淒	凄	0	16464
igxf	溼	湿	0	18770
ihal	瀘	泸	0	14971
ihlo	滷	卤	0	16926
iipo	灙	𣺼	0	0
iito	鯊	鲨	0	21785
ijff	溡	𪶄	0	0
ijgg	淵	渊	0	23129
ijgl	盪	荡	0	22358
ijgo	燙	烫	0	18513
ijgr	湯	汤	0	27204
ijgy	璗	𬍡	0	0
ijxo	濕	湿	0	25445
ijxt	洩	泄	0	22109
ikgv	漊	溇	0	0
ikhh	沖	冲	0	25763
ikqn	況	况	0	33383
ilag	漍	𬇹	0	0
ilcx	𤁣	𣺽	0	0
ilff	澤	泽	0	27620
ilnh	潿	涠	0	0
ilqj	濁	浊	0	20477
ilrb	聻	𫆏	0	0
ilre	𩟗	𫗚	0	0
ilwl	溫	温	0	31569
ilxy	𤄷	𪶒	0	0
imaa	濺	溅	0	17543
imae	濃	浓	0	26491
imgv	澠	渑	0	9616
imnk	渦	涡	0	20640
imnp	濄	㳡	0	0
imtj	渢	沨	0	0
imyy	汎	泛	0	12188
inac	澱	淀	0	19710
inhh	湋	𣲗	0	0
inwy	決	决	0	34311
